course,year,semester
CMPS151,1,Fall
CHEM101,1,Fall
CHEM103,1,Fall
MATH101,1,Fall
ENGL202,1,Fall
GENG107,1,Fall
CMPS205,1,Spring
CMPS251,1,Spring
MATH102,1,Spring
PHYS191,1,Spring
PHYS192,1,Spring
ENGL203,1,Spring
CMPE261,2,Fall
ELEC201,2,Fall
MATH211,2,Fall
PHYS193,2,Fall
PHYS194,2,Fall
ARAB100,2,Fall
ELEC351,2,Spring
ELEC231,2,Spring
CMPE263,2,Spring
CMPS303,2,Spring
GENG200,2,Spring
CMPE355,3,Fall
CMPE363,3,Fall
CMPE370,3,Fall
CMPS405,3,Fall
MATH217,3,Fall
CMPE364,3,Spring
CMPE457,3,Spring
CMPE476,3,Spring
GENG360,3,Spring
GENG300,3,Spring
CMPE498,4,Fall
CMPE462,4,Fall
Social/Behavioral Sciences Package,4,Fall
Major Elective,4,Fall
Major Elective,4,Fall
CMPE499,4,Spring
DAWA111,4,Spring
HIST121,4,Spring
Major Elective,4,Spring
Major Elective,4,Spring
